"Time","coredns","etcd","grafana","kepler","kindnet-cni","kube-apiserver","kube-controller-manager","kube-proxy","kube-scheduler","kube-state-metrics","local-path-provisioner","prometheus-server","prometheus-server-configmap-reload","ue-ch-est","ue-ch-est-56967588d5-j4wds","ue-ch-mmse","ue-ch-mmse-86945f4b45-fqhfm","ue-check-crc","ue-check-crc-74c7fc4f64-zfrdr","ue-descrambling","ue-descrambling-c9454ff78-phz8p","ue-layer-demap","ue-layer-demap-7fd5c94944-jh5fm","ue-ldpc-dec","ue-ldpc-dec-57b6745967-s4pd4","ue-ofdm-demod","ue-ofdm-demod-6cf8d58bf7-hd4jd","ue-soft-demod","ue-soft-demod-5bf45b6d95-sgz6h"
1780042352000,0.02101038963170058,0.06303116889525104,0,0.021010389631670724,0,0.12606233779002435,0.0840415585266829,0,0.06303116889513159,0,0,0,0,8.110010397832065,undefined,undefined,undefined,undefined,undefined,8.110010397832275,undefined,0,undefined,8.110010397832305,undefined,0,undefined,8.110010397832065,undefined
1780042353000,0.02101038963170058,0.06303116889525104,0,0.021010389631670724,0,0.12606233779002435,0.0840415585266829,0,0.06303116889513159,0,0,0,0,8.110010397832065,undefined,undefined,undefined,undefined,undefined,8.110010397832275,undefined,0,undefined,8.110010397832305,undefined,0,undefined,8.110010397832065,undefined
1780042354000,0.02101038963170058,0.06303116889525104,0,0.021010389631670724,0,0.12606233779002435,0.0840415585266829,0,0.06303116889513159,0,0,0,0,8.110010397832065,undefined,undefined,undefined,undefined,undefined,8.110010397832275,undefined,0,undefined,8.110010397832305,undefined,0,undefined,8.110010397832065,undefined
1780042355000,0.016190154012406012,0.06476061604962405,0.016190154012406012,0.03238030802490406,0,0.14571138611202225,0.06476061604980812,0,0.016190154012406012,0,0,0.016190154012498043,0,8.095077006210369,undefined,undefined,undefined,undefined,undefined,8.095077006210369,undefined,0,undefined,8.095077006210369,undefined,0,undefined,8.095077006210369,undefined
1780042356000,0.016190154012406012,0.06476061604962405,0.016190154012406012,0.03238030802490406,0,0.14571138611202225,0.06476061604980812,0,0.016190154012406012,0,0,0.016190154012498043,0,8.095077006210369,undefined,undefined,undefined,undefined,undefined,8.095077006210369,undefined,0,undefined,8.095077006210369,undefined,0,undefined,8.095077006210369,undefined
1780042357000,0.016190154012406012,0.06476061604962405,0.016190154012406012,0.03238030802490406,0,0.14571138611202225,0.06476061604980812,0,0.016190154012406012,0,0,0.016190154012498043,0,8.095077006210369,undefined,undefined,undefined,undefined,undefined,8.095077006210369,undefined,0,undefined,8.095077006210369,undefined,0,undefined,8.095077006210369,undefined
1780042358000,0.016190154012406012,0.06476061604962405,0.016190154012406012,0.03238030802490406,0,0.14571138611202225,0.06476061604980812,0,0.016190154012406012,0,0,0.016190154012498043,0,8.095077006210369,undefined,undefined,undefined,undefined,undefined,8.095077006210369,undefined,0,undefined,8.095077006210369,undefined,0,undefined,8.095077006210369,undefined
1780042359000,0.016190154012406012,0.06476061604962405,0.016190154012406012,0.03238030802490406,0,0.14571138611202225,0.06476061604980812,0,0.016190154012406012,0,0,0.016190154012498043,0,8.095077006210369,undefined,undefined,undefined,undefined,undefined,8.095077006210369,undefined,0,undefined,8.095077006210369,undefined,0,undefined,8.095077006210369,undefined
1780042360000,0.03215391943893628,0.08038479859728359,0.016076959719456718,0.032153919438913436,0,0.16076959719456718,0.12861567775565375,0,0.06430783887791824,0.0321539194389477,0,0.016076959719456718,0,8.03847985973567,undefined,undefined,undefined,undefined,undefined,8.03847985973567,undefined,0,undefined,8.03847985973567,undefined,0,undefined,8.03847985973567,undefined
1780042361000,0.03215391943893628,0.08038479859728359,0.016076959719456718,0.032153919438913436,0,0.16076959719456718,0.12861567775565375,0,0.06430783887791824,0.0321539194389477,0,0.016076959719456718,0,8.03847985973567,undefined,undefined,undefined,undefined,undefined,8.03847985973567,undefined,0,undefined,8.03847985973567,undefined,0,undefined,8.03847985973567,undefined
1780042362000,0.03215391943893628,0.08038479859728359,0.016076959719456718,0.032153919438913436,0,0.16076959719456718,0.12861567775565375,0,0.06430783887791824,0.0321539194389477,0,0.016076959719456718,0,8.03847985973567,undefined,undefined,undefined,undefined,undefined,8.03847985973567,undefined,0,undefined,8.03847985973567,undefined,0,undefined,8.03847985973567,undefined
1780042363000,0.03215391943893628,0.08038479859728359,0.016076959719456718,0.032153919438913436,0,0.16076959719456718,0.12861567775565375,0,0.06430783887791824,0.0321539194389477,0,0.016076959719456718,0,8.03847985973567,undefined,undefined,undefined,undefined,undefined,8.03847985973567,undefined,0,undefined,8.03847985973567,undefined,0,undefined,8.03847985973567,undefined
1780042364000,0.03215391943893628,0.08038479859728359,0.016076959719456718,0.032153919438913436,0,0.16076959719456718,0.12861567775565375,0,0.06430783887791824,0.0321539194389477,0,0.016076959719456718,0,8.03847985973567,undefined,undefined,undefined,undefined,undefined,8.03847985973567,undefined,0,undefined,8.03847985973567,undefined,0,undefined,8.03847985973567,undefined
1780042365000,0,0.06465911820409959,0.016164779551024896,0.016164779550978947,0,0.12931823640819917,0.08082389775507853,0,0.016164779550978947,0,0,0.016164779550978947,0,8.082389775496827,undefined,undefined,undefined,undefined,undefined,8.082389775496827,undefined,0,undefined,8.082389775496827,undefined,0,undefined,8.066224995945849,undefined
1780042366000,0,0.06465911820409959,0.016164779551024896,0.016164779550978947,0,0.12931823640819917,0.08082389775507853,0,0.016164779550978947,0,0,0.016164779550978947,0,8.082389775496827,undefined,undefined,undefined,undefined,undefined,8.082389775496827,undefined,0,undefined,8.082389775496827,undefined,0,undefined,8.066224995945849,undefined
1780042367000,0,0.06465911820409959,0.016164779551024896,0.016164779550978947,0,0.12931823640819917,0.08082389775507853,0,0.016164779550978947,0,0,0.016164779550978947,0,8.082389775496827,undefined,undefined,undefined,undefined,undefined,8.082389775496827,undefined,0,undefined,8.082389775496827,undefined,0,undefined,8.066224995945849,undefined
1780042368000,0,0.06465911820409959,0.016164779551024896,0.016164779550978947,0,0.12931823640819917,0.08082389775507853,0,0.016164779550978947,0,0,0.016164779550978947,0,8.082389775496827,undefined,undefined,undefined,undefined,undefined,8.082389775496827,undefined,0,undefined,8.082389775496827,undefined,0,undefined,8.066224995945849,undefined
1780042369000,0,0.06465911820409959,0.016164779551024896,0.016164779550978947,0,0.12931823640819917,0.08082389775507853,0,0.016164779550978947,0,0,0.016164779550978947,0,8.082389775496827,undefined,undefined,undefined,undefined,undefined,8.082389775496827,undefined,0,undefined,8.082389775496827,undefined,0,undefined,8.066224995945849,undefined
1780042370000,0,0.0652835602444909,0,0.03264178012224545,0,0.14688801055010453,0.0652835602444909,0,0.048962670183368175,0,0,0,0,8.160445030568784,undefined,undefined,undefined,undefined,undefined,8.160445030568784,undefined,0,undefined,8.160445030568784,undefined,0,undefined,8.176765920629906,undefined
1780042371000,0,0.0652835602444909,0,0.03264178012224545,0,0.14688801055010453,0.0652835602444909,0,0.048962670183368175,0,0,0,0,8.160445030568784,undefined,undefined,undefined,undefined,undefined,8.160445030568784,undefined,0,undefined,8.160445030568784,undefined,0,undefined,8.176765920629906,undefined
1780042372000,0,0.0652835602444909,0,0.03264178012224545,0,0.14688801055010453,0.0652835602444909,0,0.048962670183368175,0,0,0,0,8.160445030568784,undefined,undefined,undefined,undefined,undefined,8.160445030568784,undefined,0,undefined,8.160445030568784,undefined,0,undefined,8.176765920629906,undefined
1780042373000,0,0.0652835602444909,0,0.03264178012224545,0,0.14688801055010453,0.0652835602444909,0,0.048962670183368175,0,0,0,0,8.160445030568784,undefined,undefined,undefined,undefined,undefined,8.160445030568784,undefined,0,undefined,8.160445030568784,undefined,0,undefined,8.176765920629906,undefined
1780042374000,0,0.0652835602444909,0,0.03264178012224545,0,0.14688801055010453,0.0652835602444909,0,0.048962670183368175,0,0,0,0,8.160445030568784,undefined,undefined,undefined,undefined,undefined,8.160445030568784,undefined,0,undefined,8.160445030568784,undefined,0,undefined,8.176765920629906,undefined
