"Time","coredns","etcd","grafana","kepler","kindnet-cni","kube-apiserver","kube-controller-manager","kube-proxy","kube-scheduler","kube-state-metrics","local-path-provisioner","prometheus-server","prometheus-server-configmap-reload","ue-ch-est","ue-ch-mmse","ue-ch-mmse-98b7f65cf-h6nwc","ue-check-crc","ue-check-crc-7f9f86875d-k5hd5","ue-descrambling","ue-descrambling-5c54bcf8b4-x74tv","ue-layer-demap","ue-layer-demap-56d87f6894-zvvxl","ue-ldpc-dec","ue-ofdm-demod","ue-ofdm-demod-7f9ddcf5f5-tpqwn","ue-soft-demod","ue-soft-demod-cc9c66bb5-5njnq"
2026-06-03 20:37:49,0,0.0796,0,0.0796,0,0.239,0,0,0.159,0,0,0,0,9.63,9.63,,0,,9.63,,9.63,,9.63,9.63,,9.63,
2026-06-03 20:37:50,0,0.159,0.0797,0.0797,0,0.239,0,0,0.0797,0,0,0.0797,0,9.56,9.64,,0,,9.56,,9.64,,9.56,9.64,,9.64,
2026-06-03 20:37:51,0,0.159,0.0797,0.0797,0,0.239,0,0,0.0797,0,0,0.0797,0,9.56,9.64,,0,,9.56,,9.64,,9.56,9.64,,9.64,
2026-06-03 20:37:52,0,0.159,0.0797,0.0797,0,0.239,0,0,0.0797,0,0,0.0797,0,9.56,9.64,,0,,9.56,,9.64,,9.56,9.64,,9.64,
2026-06-03 20:37:53,0,0.159,0.0797,0.0797,0,0.239,0,0,0.0797,0,0,0.0797,0,9.56,9.64,,0,,9.56,,9.64,,9.56,9.64,,9.64,
2026-06-03 20:37:54,0,0.159,0.0797,0.0797,0,0.239,0,0,0.0797,0,0,0.0797,0,9.56,9.64,,0,,9.56,,9.64,,9.56,9.64,,9.64,
2026-06-03 20:37:55,0,0.0802,0,0,0,0.241,0.0802,0,0.0802,0,0,0,0,9.62,9.62,,0,,9.62,,9.62,,9.62,9.62,,9.62,
2026-06-03 20:37:56,0,0.0802,0,0,0,0.241,0.0802,0,0.0802,0,0,0,0,9.62,9.62,,0,,9.62,,9.62,,9.62,9.62,,9.62,
2026-06-03 20:37:57,0,0.0802,0,0,0,0.241,0.0802,0,0.0802,0,0,0,0,9.62,9.62,,0,,9.62,,9.62,,9.62,9.62,,9.62,
2026-06-03 20:37:58,0,0.0802,0,0,0,0.241,0.0802,0,0.0802,0,0,0,0,9.62,9.62,,0,,9.62,,9.62,,9.62,9.62,,9.62,
2026-06-03 20:37:59,0,0.0802,0,0,0,0.241,0.0802,0,0.0802,0,0,0,0,9.62,9.62,,0,,9.62,,9.62,,9.62,9.62,,9.62,
2026-06-03 20:38:00,0,0.0821,0,0.0821,0,0.246,0.164,0,0.0821,0,0,0,0,9.77,9.77,,0,,9.77,,9.77,,9.77,9.85,,9.77,
2026-06-03 20:38:01,0,0.0821,0,0.0821,0,0.246,0.164,0,0.0821,0,0,0,0,9.77,9.77,,0,,9.77,,9.77,,9.77,9.85,,9.77,
2026-06-03 20:38:02,0,0.0821,0,0.0821,0,0.246,0.164,0,0.0821,0,0,0,0,9.77,9.77,,0,,9.77,,9.77,,9.77,9.85,,9.77,
2026-06-03 20:38:03,0,0.0821,0,0.0821,0,0.246,0.164,0,0.0821,0,0,0,0,9.77,9.77,,0,,9.77,,9.77,,9.77,9.85,,9.77,
2026-06-03 20:38:04,0,0.0821,0,0.0821,0,0.246,0.164,0,0.0821,0,0,0,0,9.77,9.77,,0,,9.77,,9.77,,9.77,9.85,,9.77,
2026-06-03 20:38:05,0,0.0813,0.0813,0.163,0,0.163,0.0813,0,0.0813,0,0,0,0,9.60,9.60,,0,,9.60,,9.68,,9.60,9.60,,9.68,
2026-06-03 20:38:06,0,0.0813,0.0813,0.163,0,0.163,0.0813,0,0.0813,0,0,0,0,9.60,9.60,,0,,9.60,,9.68,,9.60,9.60,,9.68,
2026-06-03 20:38:07,0,0.0813,0.0813,0.163,0,0.163,0.0813,0,0.0813,0,0,0,0,9.60,9.60,,0,,9.60,,9.68,,9.60,9.60,,9.68,
2026-06-03 20:38:08,0,0.0813,0.0813,0.163,0,0.163,0.0813,0,0.0813,0,0,0,0,9.60,9.60,,0,,9.60,,9.68,,9.60,9.60,,9.68,
2026-06-03 20:38:09,0,0.0813,0.0813,0.163,0,0.163,0.0813,0,0.0813,0,0,0,0,9.60,9.60,,0,,9.60,,9.68,,9.60,9.60,,9.68,
2026-06-03 20:38:10,0.0822,0,0,0.0822,0,0.247,0.0822,0,0.0822,0.0822,0,0,0,9.70,9.70,,0,,9.61,,9.70,,9.61,9.70,,9.61,
2026-06-03 20:38:11,0.0822,0,0,0.0822,0,0.247,0.0822,0,0.0822,0.0822,0,0,0,9.70,9.70,,0,,9.61,,9.70,,9.61,9.70,,9.61,
2026-06-03 20:38:12,0.0822,0,0,0.0822,0,0.247,0.0822,0,0.0822,0.0822,0,0,0,9.70,9.70,,0,,9.61,,9.70,,9.61,9.70,,9.61,
2026-06-03 20:38:13,0.0822,0,0,0.0822,0,0.247,0.0822,0,0.0822,0.0822,0,0,0,9.70,9.70,,0,,9.61,,9.70,,9.61,9.70,,9.61,
2026-06-03 20:38:14,0.0822,0,0,0.0822,0,0.247,0.0822,0,0.0822,0.0822,0,0,0,9.70,9.70,,0,,9.61,,9.70,,9.61,9.70,,9.61,
2026-06-03 20:38:15,0,0.0823,0,0.165,0,0.247,0.165,0,0.0823,0,0,0,0,9.72,9.72,,0,,9.63,,9.72,,9.72,9.80,,9.63,
2026-06-03 20:38:16,0,0.0823,0,0.165,0,0.247,0.165,0,0.0823,0,0,0,0,9.72,9.72,,0,,9.63,,9.72,,9.72,9.80,,9.63,
2026-06-03 20:38:17,0,0.0823,0,0.165,0,0.247,0.165,0,0.0823,0,0,0,0,9.72,9.72,,0,,9.63,,9.72,,9.72,9.80,,9.63,
2026-06-03 20:38:18,0,0.0823,0,0.165,0,0.247,0.165,0,0.0823,0,0,0,0,9.72,9.72,,0,,9.63,,9.72,,9.72,9.80,,9.63,
2026-06-03 20:38:19,0,0.0823,0,0.165,0,0.247,0.165,0,0.0823,0,0,0,0,9.72,9.72,,0,,9.63,,9.72,,9.72,9.80,,9.63,
2026-06-03 20:38:20,0,0.101,0,0.101,0,0.304,0,0,0.101,0,0,0.101,0,11.7,0,,0,,11.6,,11.7,,11.6,11.7,,11.7,
2026-06-03 20:38:21,0,0.101,0,0.101,0,0.304,0,0,0.101,0,0,0.101,0,11.7,0,,0,,11.6,,11.7,,11.6,11.7,,11.7,
2026-06-03 20:38:22,0,0.101,0,0.101,0,0.304,0,0,0.101,0,0,0.101,0,11.7,0,,0,,11.6,,11.7,,11.6,11.7,,11.7,
2026-06-03 20:38:23,0,0.101,0,0.101,0,0.304,0,0,0.101,0,0,0.101,0,11.7,0,,0,,11.6,,11.7,,11.6,11.7,,11.7,
2026-06-03 20:38:24,0,0.101,0,0.101,0,0.304,0,0,0.101,0,0,0.101,0,11.7,0,,0,,11.6,,11.7,,11.6,11.7,,11.7,
2026-06-03 20:38:25,0.0798,0,0.160,0.0798,0,0.239,0.0798,0,0.160,0,0,0,0,9.10,0,,0,,9.18,,9.18,,9.18,9.18,,9.18,
2026-06-03 20:38:26,0.0798,0,0.160,0.0798,0,0.239,0.0798,0,0.160,0,0,0,0,9.10,0,,0,,9.18,,9.18,,9.18,9.18,,9.18,
2026-06-03 20:38:27,0.0798,0,0.160,0.0798,0,0.239,0.0798,0,0.160,0,0,0,0,9.10,0,,0,,9.18,,9.18,,9.18,9.18,,9.18,
2026-06-03 20:38:28,0.0798,0,0.160,0.0798,0,0.239,0.0798,0,0.160,0,0,0,0,9.10,0,,0,,9.18,,9.18,,9.18,9.18,,9.18,
2026-06-03 20:38:29,0.0798,0,0.160,0.0798,0,0.239,0.0798,0,0.160,0,0,0,0,9.10,0,,0,,9.18,,9.18,,9.18,9.18,,9.18,
